clase,forma_sombrero,color_sombrero,magulladuras,olor,espaciado_laminas,tamano_laminas,color_laminas,forma_tallo,raiz_tallo,superficie_tallo_arriba_anillo,superficie_tallo_abajo_anillo,color_tallo_arriba_anillo,color_tallo_abajo_anillo,tipo_anillo,color_esporas,poblacion,habitat
e,x,g,f,n,w,b,n,t,e,s,s,w,w,e,n,s,g
e,x,y,t,l,c,b,w,e,r,s,y,w,w,p,k,s,g
e,x,n,f,n,w,b,k,t,e,s,s,w,w,e,k,s,g
e,b,w,t,a,c,b,w,e,c,s,s,w,w,p,k,s,g
e,x,w,t,l,c,b,n,e,c,s,s,w,w,p,n,s,g
e,f,n,t,l,c,b,w,e,r,s,y,w,w,p,k,y,g
e,s,n,f,n,c,n,n,e,e,s,s,w,w,p,n,v,u
e,x,n,f,n,c,n,n,e,e,s,s,w,w,p,n,y,u
e,b,w,t,l,c,b,k,e,c,s,s,w,w,p,k,s,g
e,x,y,t,a,c,b,g,e,c,s,s,w,w,p,k,s,g
e,x,y,t,l,c,b,g,e,c,s,s,w,w,p,k,n,m
e,x,n,f,n,w,b,n,t,e,s,s,w,w,e,n,a,g
e,x,w,t,a,c,b,g,e,c,s,s,w,w,p,n,s,g
e,f,n,t,l,c,b,p,e,r,s,y,w,w,p,n,s,g
e,x,y,t,a,c,b,n,e,c,s,s,w,w,p,k,n,g
e,b,w,t,a,c,b,g,e,c,s,s,w,w,p,n,s,g
e,x,w,t,a,c,b,g,e,c,s,s,w,w,p,k,s,g
e,x,n,f,n,w,b,p,t,e,f,s,w,w,e,k,s,g
e,b,y,t,l,c,b,n,e,c,s,s,w,w,p,k,n,g
e,f,y,t,l,c,b,w,e,r,s,y,w,w,p,n,s,g
e,x,y,t,a,c,b,n,e,r,s,y,w,w,p,k,y,p
e,b,w,t,l,c,b,g,e,c,s,s,w,w,p,n,n,g
e,x,y,t,a,c,b,n,e,c,s,s,w,w,p,k,n,m
e,x,y,t,a,c,b,w,e,r,s,y,w,w,p,n,y,g
e,b,w,t,l,c,b,n,e,c,s,s,w,w,p,k,s,m
e,b,w,t,a,c,b,g,e,c,s,s,w,w,p,n,s,m
e,x,y,t,a,c,b,k,e,c,s,s,w,w,p,k,n,m
e,x,y,t,l,c,b,w,e,c,s,s,w,w,p,k,n,g
e,s,g,f,n,c,n,g,e,e,s,s,w,w,p,k,y,u
e,x,w,t,a,w,n,w,t,b,s,s,w,w,p,u,v,d
e,x,y,t,a,c,b,n,e,c,s,s,w,w,p,k,n,m
p,x,w,t,p,c,n,n,e,e,s,s,w,w,p,n,v,u
e,x,y,t,l,c,b,p,e,r,s,y,w,w,p,n,s,g
e,s,g,f,n,c,n,p,e,e,s,s,w,w,p,n,y,u
e,x,y,t,l,c,b,w,e,r,s,y,w,w,p,k,y,g
e,x,y,t,l,w,n,p,t,b,s,s,w,w,p,u,v,d
e,s,n,f,n,c,n,k,e,e,s,s,w,w,p,n,y,u
p,x,w,t,p,c,n,k,e,e,s,s,w,w,p,k,v,g
e,x,w,t,a,c,b,g,e,c,s,s,w,w,p,n,n,m
p,f,n,t,p,c,n,p,e,e,s,s,w,w,p,k,v,g
e,f,g,f,n,w,b,k,t,e,s,s,w,w,e,n,a,g
e,x,y,t,l,c,b,g,e,c,s,s,w,w,p,n,s,m
e,x,w,f,n,w,b,n,t,e,s,f,w,w,e,k,s,g
e,b,y,t,a,c,b,w,e,c,s,s,w,w,p,n,n,g
e,f,g,f,n,w,b,h,t,e,s,s,w,w,e,n,a,g
e,x,w,t,l,c,b,n,e,c,s,s,w,w,p,k,n,g
e,b,w,t,l,c,b,n,e,c,s,s,w,w,p,n,s,m
e,b,w,t,l,c,b,w,e,c,s,s,w,w,p,n,s,g
e,b,w,t,l,c,b,w,e,c,s,s,w,w,p,n,s,m
e,f,w,t,l,w,n,w,t,b,s,s,w,w,p,u,v,d
e,x,y,t,l,c,b,g,e,c,s,s,w,w,p,k,s,m
e,f,w,t,a,w,n,p,t,b,s,s,w,w,p,n,v,d
p,x,w,t,p,c,n,w,e,e,s,s,w,w,p,n,v,u
e,f,w,t,l,w,n,w,t,b,s,s,w,w,p,n,v,d
e,x,y,t,a,c,b,n,e,c,s,s,w,w,p,n,s,g
p,x,n,t,p,c,n,p,e,e,s,s,w,w,p,n,v,g
e,b,y,t,l,c,b,w,e,c,s,s,w,w,p,n,n,g
e,x,n,t,a,c,b,w,e,r,s,y,w,w,p,k,y,p
e,b,y,t,l,c,b,g,e,c,s,s,w,w,p,k,n,m
e,s,n,f,n,c,n,k,e,e,s,s,w,w,p,n,v,u
e,f,n,t,a,c,b,w,e,r,s,y,w,w,p,k,y,p
e,x,y,t,a,c,b,k,e,c,s,s,w,w,p,k,n,g
e,x,g,f,n,w,b,k,t,e,f,f,w,w,e,k,s,g
e,f,w,f,n,w,b,k,t,e,s,f,w,w,e,n,a,g
e,x,y,t,l,c,b,w,e,c,s,s,w,w,p,n,n,m
e,b,y,t,l,c,b,k,e,c,s,s,w,w,p,k,n,g
e,b,w,t,a,c,b,g,e,c,s,s,w,w,p,k,n,m
e,x,w,t,a,c,b,w,e,c,s,s,w,w,p,n,s,g
e,x,n,f,n,w,b,p,t,e,f,s,w,w,e,n,a,g
e,x,w,t,l,c,b,g,e,c,s,s,w,w,p,n,s,g
e,s,n,f,n,c,n,k,e,e,s,s,w,w,p,k,v,u
e,x,w,t,a,w,n,w,t,b,s,s,w,w,p,u,v,d
e,x,n,t,l,c,b,w,e,r,s,y,w,w,p,k,s,g
e,b,y,t,a,c,b,k,e,c,s,s,w,w,p,n,n,g
e,x,w,t,a,c,b,k,e,c,s,s,w,w,p,n,n,g
e,b,w,t,a,c,b,n,e,c,s,s,w,w,p,k,s,m
e,b,y,t,a,c,b,g,e,c,s,s,w,w,p,k,s,g
e,b,y,t,l,c,b,g,e,c,s,s,w,w,p,k,s,m
e,b,y,t,a,c,b,n,e,c,s,s,w,w,p,k,n,g
e,x,n,f,n,c,n,k,e,e,s,s,w,w,p,n,y,u
e,f,n,t,l,c,b,n,e,r,s,y,w,w,p,n,y,g
e,x,w,t,a,c,b,k,e,c,s,s,w,w,p,n,s,g
e,f,y,t,l,c,b,w,e,r,s,y,w,w,p,n,y,p
e,b,w,t,a,c,b,w,e,c,s,s,w,w,p,n,s,g
e,b,w,t,a,c,b,w,e,c,s,s,w,w,p,k,s,m
e,x,n,t,l,c,b,w,e,r,s,y,w,w,p,k,y,g
e,b,w,t,a,c,b,k,e,c,s,s,w,w,p,k,s,g
e,x,g,f,n,c,n,g,e,e,s,s,w,w,p,n,y,u
e,b,y,t,l,c,b,k,e,c,s,s,w,w,p,n,s,g
e,x,y,t,l,w,n,n,t,b,s,s,w,w,p,u,v,d
e,b,y,t,a,c,b,w,e,c,s,s,w,w,p,k,s,g
e,f,y,t,l,c,b,p,e,r,s,y,w,w,p,n,s,g
e,b,w,t,l,c,b,w,e,c,s,s,w,w,p,k,n,m
e,b,w,t,a,c,b,k,e,c,s,s,w,w,p,k,n,m
e,b,y,t,a,c,b,g,e,c,s,s,w,w,p,n,s,g
e,x,y,t,l,c,b,g,e,c,s,s,w,w,p,n,n,m
e,b,y,t,l,c,b,g,e,c,s,s,w,w,p,n,n,g
p,x,w,t,p,c,n,p,e,e,s,s,w,w,p,n,v,u
e,s,n,f,n,c,n,g,e,e,s,s,w,w,p,n,y,u
e,f,n,f,n,c,n,g,e,e,s,s,w,w,p,k,v,u
e,x,y,t,a,c,b,g,e,c,s,s,w,w,p,n,s,m
e,f,n,t,a,c,b,p,e,r,s,y,w,w,p,k,s,p
p,x,w,t,p,c,n,k,e,e,s,s,w,w,p,k,s,g
e,b,w,t,l,c,b,g,e,c,s,s,w,w,p,n,s,m
e,f,g,f,n,c,n,p,e,e,s,s,w,w,p,k,v,u
e,b,y,t,l,c,b,g,e,c,s,s,w,w,p,n,n,g
e,x,n,t,a,c,b,w,e,r,s,y,w,w,p,n,y,p
e,x,w,f,n,w,b,p,t,e,s,f,w,w,e,k,s,g
e,x,w,t,l,w,n,w,t,b,s,s,w,w,p,n,v,d
e,b,w,t,l,c,b,w,e,c,s,s,w,w,p,n,s,m
e,f,y,t,a,w,n,w,t,b,s,s,w,w,p,n,v,d
e,x,y,t,a,c,b,k,e,c,s,s,w,w,p,n,n,m
e,f,g,f,n,c,n,g,e,e,s,s,w,w,p,n,y,u
e,b,y,t,a,c,b,n,e,c,s,s,w,w,p,k,s,g
e,x,w,t,l,c,b,g,e,c,s,s,w,w,p,n,n,m
e,x,w,t,l,c,b,n,e,c,s,s,w,w,p,n,s,m
e,f,w,t,a,w,n,n,t,b,s,s,w,w,p,n,v,d
e,x,y,t,l,c,b,w,e,c,s,s,w,w,p,n,s,g
e,b,w,t,l,c,b,w,e,c,s,s,w,w,p,k,s,g
e,x,w,t,a,c,b,g,e,c,s,s,w,w,p,k,n,g
e,x,w,f,n,w,b,h,t,e,f,s,w,w,e,k,s,g
e,f,n,t,l,c,b,n,e,r,s,y,w,w,p,k,y,p
p,x,w,t,p,c,n,k,e,e,s,s,w,w,p,n,v,u
e,b,w,t,a,c,b,n,e,c,s,s,w,w,p,n,n,g
e,b,w,t,a,c,b,k,e,c,s,s,w,w,p,k,s,m
e,b,w,t,l,c,b,n,e,c,s,s,w,w,p,n,n,g
e,b,w,t,a,c,b,w,e,c,s,s,w,w,p,k,n,g
e,x,y,t,a,c,b,w,e,c,s,s,w,w,p,k,s,g
e,b,w,t,l,c,b,w,e,c,s,s,w,w,p,k,n,m
e,x,y,t,a,w,n,n,t,b,s,s,w,w,p,n,v,d
e,x,g,f,n,c,n,n,e,e,s,s,w,w,p,n,y,u
e,f,y,t,a,c,b,n,e,r,s,y,w,w,p,n,s,g
e,b,w,t,l,c,b,n,e,c,s,s,w,w,p,k,n,m
e,x,y,t,a,c,b,g,e,c,s,s,w,w,p,k,s,g
e,x,y,t,a,c,b,k,e,c,s,s,w,w,p,k,s,g
e,x,w,t,l,c,b,w,e,c,s,s,w,w,p,n,s,g
e,s,g,f,n,c,n,p,e,e,s,s,w,w,p,n,v,u
e,x,w,t,a,c,b,n,e,c,s,s,w,w,p,n,n,m
p,x,w,t,p,c,n,k,e,e,s,s,w,w,p,k,s,g
e,x,y,t,a,c,b,n,e,r,s,y,w,w,p,n,s,g
e,f,w,t,a,w,n,p,t,b,s,s,w,w,p,n,v,d
e,x,w,t,l,c,b,g,e,c,s,s,w,w,p,k,n,m
e,b,w,t,l,c,b,n,e,c,s,s,w,w,p,k,s,g
e,x,w,t,a,c,b,g,e,c,s,s,w,w,p,n,n,g
e,x,y,t,a,c,b,g,e,c,s,s,w,w,p,n,s,g
p,x,n,t,p,c,n,p,e,e,s,s,w,w,p,k,v,u
e,b,y,t,a,c,b,n,e,c,s,s,w,w,p,n,n,g
e,x,g,f,n,c,n,n,e,e,s,s,w,w,p,k,y,u
p,x,w,t,p,c,n,k,e,e,s,s,w,w,p,k,s,u
e,x,y,t,l,c,b,n,e,r,s,y,w,w,p,n,y,p
e,f,n,f,n,c,n,k,e,e,s,s,w,w,p,k,v,u
e,b,w,t,l,c,b,k,e,c,s,s,w,w,p,n,n,g
e,x,w,t,l,w,n,w,t,b,s,s,w,w,p,n,v,d
e,x,w,t,l,c,b,w,e,c,s,s,w,w,p,k,s,g
e,b,y,t,l,c,b,n,e,c,s,s,w,w,p,n,s,g
e,x,y,t,l,c,b,n,e,r,s,y,w,w,p,k,s,g
e,f,y,t,a,c,b,p,e,r,s,y,w,w,p,k,s,p
e,f,y,t,a,c,b,w,e,r,s,y,w,w,p,k,y,p
e,x,w,t,l,c,b,w,e,c,s,s,w,w,p,k,s,g
e,x,w,t,a,c,b,w,e,c,s,s,w,w,p,n,n,m
p,x,w,t,p,c,n,n,e,e,s,s,w,w,p,k,v,u
e,f,w,t,a,w,n,p,t,b,s,s,w,w,p,u,v,d
e,x,w,t,l,c,b,w,e,c,s,s,w,w,p,n,s,g
e,x,w,t,l,w,n,p,t,b,s,s,w,w,p,u,v,d
e,x,w,t,a,c,b,n,e,c,s,s,w,w,p,k,s,m
e,f,y,t,l,c,b,w,e,r,s,y,w,w,p,k,y,p
e,x,n,f,n,w,b,p,t,e,f,s,w,w,e,k,s,g
e,f,y,t,a,c,b,w,e,r,s,y,w,w,p,n,y,g
p,x,n,t,p,c,n,p,e,e,s,s,w,w,p,n,s,g
e,s,n,f,n,c,n,g,e,e,s,s,w,w,p,n,v,u
e,b,y,t,l,c,b,w,e,c,s,s,w,w,p,n,s,m
e,b,w,t,l,c,b,n,e,c,s,s,w,w,p,n,s,g
e,b,w,t,l,c,b,k,e,c,s,s,w,w,p,n,n,m
e,f,n,f,n,c,n,k,e,e,s,s,w,w,p,n,v,u
e,x,w,t,a,c,b,w,e,c,s,s,w,w,p,k,n,m
e,b,w,t,l,c,b,g,e,c,s,s,w,w,p,k,n,g
e,b,w,t,a,c,b,g,e,c,s,s,w,w,p,n,n,m
e,f,n,t,l,c,b,w,e,r,s,y,w,w,p,n,s,g
p,x,w,t,p,c,n,k,e,e,s,s,w,w,p,k,v,g
e,x,w,t,a,c,b,n,e,c,s,s,w,w,p,n,n,g
e,x,w,t,a,c,b,n,e,c,s,s,w,w,p,n,s,m
e,f,w,t,l,w,n,w,t,b,s,s,w,w,p,u,v,d
e,f,g,f,n,c,n,g,e,e,s,s,w,w,p,k,v,u
e,f,g,f,n,w,b,p,t,e,s,s,w,w,e,k,a,g
e,x,y,t,a,c,b,g,e,c,s,s,w,w,p,n,s,m
e,b,w,t,a,c,b,k,e,c,s,s,w,w,p,n,s,m
p,f,n,t,p,c,n,w,e,e,s,s,w,w,p,k,s,u
e,x,w,t,l,c,b,n,e,c,s,s,w,w,p,k,n,m
p,f,n,t,p,c,n,w,e,e,s,s,w,w,p,k,v,u
e,x,w,t,l,c,b,k,e,c,s,s,w,w,p,n,s,g
e,x,y,t,a,c,b,k,e,c,s,s,w,w,p,n,n,m
e,f,y,t,a,c,b,n,e,r,s,y,w,w,p,n,s,p
e,x,n,t,a,c,b,w,e,r,s,y,w,w,p,n,s,p
e,f,n,t,a,c,b,w,e,r,s,y,w,w,p,n,y,g
e,x,w,t,a,c,b,w,e,c,s,s,w,w,p,n,n,m
e,f,n,f,n,w,b,h,t,e,s,s,w,w,e,k,s,g
e,x,y,t,l,c,b,k,e,c,s,s,w,w,p,n,n,m
p,x,w,t,p,c,n,w,e,e,s,s,w,w,p,n,s,g
e,b,y,t,a,c,b,n,e,c,s,s,w,w,p,n,n,m
e,s,n,f,n,c,n,p,e,e,s,s,w,w,p,n,v,u
e,x,y,t,l,c,b,k,e,c,s,s,w,w,p,k,s,m
e,b,w,t,l,c,b,n,e,c,s,s,w,w,p,k,n,m
e,f,n,t,a,c,b,n,e,r,s,y,w,w,p,k,s,g
e,b,y,t,a,c,b,g,e,c,s,s,w,w,p,k,s,m
e,b,w,t,a,c,b,g,e,c,s,s,w,w,p,k,s,g
e,x,n,t,l,c,b,n,e,r,s,y,w,w,p,n,y,p
e,f,g,f,n,c,n,p,e,e,s,s,w,w,p,n,y,u
e,x,g,f,n,c,n,g,e,e,s,s,w,w,p,k,y,u
e,b,y,t,l,c,b,n,e,c,s,s,w,w,p,k,s,g
e,x,y,t,l,c,b,n,e,c,s,s,w,w,p,k,s,m
e,b,w,t,l,c,b,k,e,c,s,s,w,w,p,n,s,g
e,x,w,t,a,c,b,g,e,c,s,s,w,w,p,k,s,m
e,b,y,t,a,c,b,g,e,c,s,s,w,w,p,n,n,m
e,x,y,t,a,c,b,k,e,c,s,s,w,w,p,k,s,m
e,x,g,f,n,w,b,p,t,e,f,f,w,w,e,k,s,g
e,f,y,t,a,w,n,p,t,b,s,s,w,w,p,n,v,d
p,x,w,t,p,c,n,p,e,e,s,s,w,w,p,k,s,g
e,x,w,f,n,w,b,k,t,e,f,s,w,w,e,k,a,g
e,b,w,t,a,c,b,w,e,c,s,s,w,w,p,k,s,g
e,x,y,t,l,w,n,w,t,b,s,s,w,w,p,n,v,d
e,b,w,t,a,c,b,n,e,c,s,s,w,w,p,k,s,g
e,x,w,t,l,c,b,g,e,c,s,s,w,w,p,k,s,g
e,x,n,t,n,c,b,p,t,b,s,s,g,p,p,n,y,d
e,b,w,t,l,c,b,k,e,c,s,s,w,w,p,n,s,m
e,x,y,t,l,c,b,g,e,c,s,s,w,w,p,n,n,m
e,f,n,t,a,c,b,p,e,r,s,y,w,w,p,k,y,g
e,x,w,f,n,w,b,n,t,e,s,s,w,w,e,n,s,g
e,x,y,t,l,c,b,w,e,c,s,s,w,w,p,k,s,g
p,x,w,t,p,c,n,n,e,e,s,s,w,w,p,n,v,g
e,x,y,t,l,c,b,n,e,c,s,s,w,w,p,k,s,g
e,x,w,t,a,w,n,p,t,b,s,s,w,w,p,n,v,d
e,b,y,t,a,c,b,g,e,c,s,s,w,w,p,n,n,g
p,x,w,t,p,c,n,k,e,e,s,s,w,w,p,k,v,u
e,x,y,t,a,w,n,w,t,b,s,s,w,w,p,n,v,d
e,x,w,t,a,c,b,k,e,c,s,s,w,w,p,k,n,m
e,x,w,t,l,w,n,n,t,b,s,s,w,w,p,n,v,d
e,f,w,t,l,w,n,w,t,b,s,s,w,w,p,n,v,d
e,x,y,t,l,c,b,k,e,c,s,s,w,w,p,n,s,m
e,f,y,t,a,w,n,w,t,b,s,s,w,w,p,u,v,d
e,x,w,t,a,c,b,w,e,c,s,s,w,w,p,k,s,g
e,b,y,t,a,c,b,n,e,c,s,s,w,w,p,k,s,m
e,x,n,t,l,c,b,p,e,r,s,y,w,w,p,n,s,p
e,b,w,t,l,c,b,k,e,c,s,s,w,w,p,k,n,g
e,x,y,t,a,c,b,n,e,c,s,s,w,w,p,n,s,m
p,x,n,t,p,c,n,n,e,e,s,s,w,w,p,n,v,u
e,b,y,t,l,c,b,w,e,c,s,s,w,w,p,k,n,g
e,b,w,t,a,c,b,g,e,c,s,s,w,w,p,k,n,g
p,x,n,t,p,c,n,w,e,e,s,s,w,w,p,k,v,u
e,b,w,t,l,c,b,n,e,c,s,s,w,w,p,k,s,m
e,b,y,t,l,c,b,w,e,c,s,s,w,w,p,n,n,m
e,b,y,t,a,c,b,n,e,c,s,s,w,w,p,k,s,g
e,x,w,t,l,c,b,g,e,c,s,s,w,w,p,n,n,g
e,x,n,t,n,c,b,p,t,b,s,s,p,w,p,k,y,d
e,x,n,t,a,c,b,w,e,r,s,y,w,w,p,k,y,g
e,b,y,t,l,c,b,n,e,c,s,s,w,w,p,n,s,g
e,x,g,f,n,c,n,g,e,e,s,s,w,w,p,n,v,u
e,x,n,t,l,c,b,n,e,r,s,y,w,w,p,k,y,g
e,x,w,t,a,c,b,k,e,c,s,s,w,w,p,n,s,g
e,b,w,t,a,c,b,n,e,c,s,s,w,w,p,k,n,g
e,x,y,t,a,c,b,g,e,c,s,s,w,w,p,k,s,m
e,f,y,t,a,w,n,p,t,b,s,s,w,w,p,n,v,d
e,b,y,t,l,c,b,g,e,c,s,s,w,w,p,n,s,g
e,x,n,f,n,w,b,n,t,e,s,f,w,w,e,n,a,g
e,x,y,t,l,w,n,n,t,b,s,s,w,w,p,n,v,d
e,x,y,t,a,c,b,n,e,c,s,s,w,w,p,n,n,m
e,f,g,f,n,w,b,n,t,e,s,f,w,w,e,k,s,g
e,x,n,f,n,c,n,g,e,e,s,s,w,w,p,n,y,u
e,f,g,f,n,w,b,h,t,e,f,f,w,w,e,n,a,g
e,f,n,t,a,c,b,p,e,r,s,y,w,w,p,n,s,p
e,b,w,t,a,c,b,k,e,c,s,s,w,w,p,n,s,g
e,b,y,t,a,c,b,k,e,c,s,s,w,w,p,k,s,m
e,x,y,t,l,c,b,w,e,r,s,y,w,w,p,k,s,p
e,s,g,f,n,c,n,g,e,e,s,s,w,w,p,n,v,u
e,f,n,t,a,c,b,p,e,r,s,y,w,w,p,n,y,p
p,x,n,t,p,c,n,k,e,e,s,s,w,w,p,k,s,u
e,x,y,t,a,c,b,p,e,r,s,y,w,w,p,n,y,p
e,x,y,t,a,c,b,w,e,c,s,s,w,w,p,n,s,g
e,x,n,f,n,w,b,h,t,e,s,f,w,w,e,n,s,g
e,x,n,f,n,w,b,p,t,e,f,f,w,w,e,k,a,g
e,f,n,f,n,w,b,k,t,e,f,s,w,w,e,k,a,g
e,f,n,t,a,c,b,n,e,r,s,y,w,w,p,n,s,p
e,x,y,t,a,c,b,w,e,c,s,s,w,w,p,k,n,g
e,f,n,f,n,c,n,p,e,e,s,s,w,w,p,k,v,u
e,x,y,t,a,c,b,w,e,r,s,y,w,w,p,n,s,p
e,x,y,t,a,w,n,p,t,b,s,s,w,w,p,u,v,d
e,b,y,t,a,c,b,g,e,c,s,s,w,w,p,n,n,g
e,x,g,f,n,w,b,n,t,e,s,s,w,w,e,k,s,g
e,x,y,t,a,c,b,w,e,r,s,y,w,w,p,n,s,g
e,f,n,t,l,c,b,n,e,r,s,y,w,w,p,k,y,g
e,x,y,t,a,c,b,w,e,c,s,s,w,w,p,k,s,m
e,s,n,f,n,c,n,n,e,e,s,s,w,w,p,n,y,u
e,x,w,t,a,c,b,k,e,c,s,s,w,w,p,k,s,m
e,b,w,t,l,c,b,n,e,c,s,s,w,w,p,k,n,g
e,s,n,f,n,c,n,k,e,e,s,s,w,w,p,k,y,u
e,b,y,t,l,c,b,n,e,c,s,s,w,w,p,n,n,m
e,x,y,t,l,c,b,k,e,c,s,s,w,w,p,n,n,g
e,b,y,t,a,c,b,k,e,c,s,s,w,w,p,n,s,g
p,x,n,t,p,c,n,p,e,e,s,s,w,w,p,k,s,u
